ID,Pos,Department,Stage,Stage_class,Application_date,App_source,Qualification,Experience,Type,Offer_taken,Conf_Date,Recency,Event
269132,Sr. Customer Service Operations Associate,Operations,New Application,0,28-02-2018,Outsourced,Bachelors,12,Experienced,Not avaliable,#N/A,--,9
1929872,Finance Manager,Finance,New Application,0,30-06-2016,Agency,Masters,4,Experienced,Not avaliable,#N/A,--,9
3855386,Associate Software Developer,Engineering,In-House Interview,2,30-09-2016,Campus Event,PhD,2,Campus,Not avaliable,#N/A,--,9
2468,Associate Software Developer,Engineering,Offer Sent,1,01-11-2018,Campus Job Board,PhD,2,Campus,Offer Response Pending,15-12-2018,44,2
2471,Associate Relationship Manager,Sales,Offer Sent,1,13-12-2018,Campus Event,Masters,0,Campus,Offer Response Pending,31-01-2019,49,2
2475,Associate Software Developer,Engineering,Offer Sent,1,21-12-2018,Advertisement,Masters,0,Campus,Offer Response Pending,05-02-2019,46,2
2480,Associate Relationship Manager,Sales,Offer Sent,1,25-12-2018,Campus Event,Masters,0,Campus,Offer Response Pending,09-02-2019,46,2
2486,Associate Relationship Manager,Sales,Offer Sent,1,06-12-2018,Campus Event,Masters,1,Campus,Offer Response Pending,17-01-2019,42,2
2493,Associate Software Developer,Engineering,Offer Sent,1,11-12-2018,Campus Event,PhD,1,Campus,Offer Response Pending,26-01-2019,46,2
2501,Associate Software Developer,Engineering,Offer Sent,1,13-12-2018,Campus Job Board,Bachelors,0,Campus,Offer Response Pending,26-01-2019,44,2
2510,Associate Relationship Manager,Sales,Offer Sent,1,13-12-2018,Career Fair,Masters,0,Campus,Offer Response Pending,28-01-2019,46,2
2520,Associate Software Developer,Engineering,Offer Sent,1,23-11-2018,Career Fair,Bachelors,0,Campus,Offer Response Pending,05-01-2019,43,2
2531,Associate Software Developer,Engineering,Offer Sent,1,02-01-2019,Campus Event,PhD,1,Campus,Offer Response Pending,15-02-2019,44,2
2543,Associate Relationship Manager,Sales,Offer Sent,1,26-12-2018,Campus Job Board,Masters,0,Campus,Offer Response Pending,06-02-2019,42,2
2556,Associate Software Developer,Engineering,Offer Sent,1,10-11-2018,Campus Event,PhD,2,Campus,Offer Response Pending,28-12-2018,48,2
2570,Associate Software Developer,Engineering,Offer Sent,1,05-01-2016,Advertisement,Bachelors,0,Campus,Offer Accepted,14-02-2016,40,1
2585,Associate Software Developer,Engineering,Offer Sent,1,09-09-2017,Campus Event,Bachelors,0,Campus,Offer Accepted,20-10-2017,41,1
2601,Associate Relationship Manager,Sales,Offer Sent,1,12-12-2018,Advertisement,JD,2,Campus,Offer Accepted,11-01-2019,30,1
2618,Associate Software Developer,Engineering,Offer Sent,1,02-12-2018,Advertisement,Bachelors,0,Campus,Offer Accepted,04-01-2019,33,1
2636,Associate Relationship Manager,Sales,Offer Sent,1,01-11-2017,Campus Job Board,Masters,0,Campus,Offer Accepted,05-12-2017,34,1
2655,Associate Software Developer,Engineering,Offer Sent,1,12-11-2017,Career Fair,Bachelors,0,Campus,Offer Accepted,17-12-2017,35,1
2675,Associate Product Manager,Product,Offer Sent,1,09-11-2016,Campus Job Board,PhD,2,Campus,Offer Accepted,08-12-2016,29,1
2696,Associate Product Manager,Product,Offer Sent,1,25-08-2018,Campus Event,Bachelors,0,Campus,Offer Accepted,27-09-2018,33,1
2718,Associate Software Developer,Engineering,Offer Sent,1,02-10-2018,Campus Job Board,PhD,1,Campus,Offer Accepted,31-10-2018,29,1
2741,Associate Software Developer,Engineering,Offer Sent,1,28-08-2018,Career Fair,Bachelors,0,Campus,Offer Accepted,05-10-2018,38,1
2765,Associate Relationship Manager,Sales,Offer Sent,1,20-10-2016,Website,Bachelors,0,Campus,Offer Accepted,28-11-2016,39,1
2790,Associate Software Developer,Engineering,Offer Sent,1,17-08-2018,Campus Event,Bachelors,0,Campus,Offer Accepted,19-09-2018,33,1
2816,Associate Relationship Manager,Sales,Offer Sent,1,31-10-2018,Website,Bachelors,0,Campus,Offer Accepted,11-12-2018,41,1
2843,Associate Software Developer,Engineering,Offer Sent,1,13-09-2016,Campus Event,PhD,1,Campus,Offer Accepted,16-10-2016,33,1
2871,Associate Software Developer,Engineering,Offer Sent,1,13-11-2017,Campus Job Board,Bachelors,0,Campus,Offer Accepted,14-12-2017,31,1
2900,Associate Software Developer,Engineering,Offer Sent,1,18-09-2016,Campus Event,Bachelors,0,Campus,Offer Accepted,26-10-2016,38,1
2930,Associate Software Developer,Engineering,Offer Sent,1,03-08-2018,Career Fair,Bachelors,0,Campus,Offer Accepted,04-09-2018,32,1
2961,Associate Software Developer,Engineering,Offer Sent,1,14-10-2016,Career Fair,Bachelors,0,Campus,Offer Accepted,20-11-2016,37,1
2993,Associate Software Developer,Engineering,Offer Sent,1,05-11-2018,Website,PhD,2,Campus,Offer Accepted,11-12-2018,36,1
3026,Associate Software Developer,Engineering,Offer Sent,1,16-10-2016,Career Fair,Masters,0,Campus,Offer Accepted,23-11-2016,38,1
3060,Associate Relationship Manager,Sales,Offer Sent,1,05-09-2017,Career Fair,Bachelors,0,Campus,Offer Accepted,10-10-2017,35,1
3095,Associate Product Manager,Product,Offer Sent,1,28-08-2018,Campus Event,Bachelors,0,Campus,Offer Accepted,29-09-2018,32,1
3131,Associate Software Developer,Engineering,Offer Sent,1,01-08-2018,Career Fair,PhD,2,Campus,Offer Accepted,07-09-2018,37,1
3168,Associate Relationship Manager,Sales,Offer Sent,1,29-08-2018,Campus Event,Masters,0,Campus,Offer Accepted,03-10-2018,35,1
3206,Associate Software Developer,Engineering,Offer Sent,1,17-09-2017,Career Fair,Bachelors,0,Campus,Offer Accepted,28-10-2017,41,1
3245,Associate Relationship Manager,Sales,Offer Sent,1,14-12-2016,Campus Event,Masters,0,Campus,Offer Accepted,13-01-2017,30,1
3285,Associate Software Developer,Engineering,Offer Sent,1,23-12-2017,Career Fair,Bachelors,0,Campus,Offer Accepted,22-01-2018,30,1
3326,Associate Software Developer,Engineering,Offer Sent,1,15-09-2018,Career Fair,Bachelors,0,Campus,Offer Accepted,16-10-2018,31,1
3368,Associate Software Developer,Engineering,Offer Sent,1,23-09-2018,Career Fair,Bachelors,0,Campus,Offer Accepted,24-10-2018,31,1
3411,Associate Software Developer,Engineering,Offer Sent,1,12-01-2017,Career Fair,Bachelors,0,Campus,Offer Accepted,11-02-2017,30,1
3455,Associate Software Developer,Engineering,Offer Sent,1,30-08-2018,Campus Event,PhD,1,Campus,Offer Accepted,30-09-2018,31,1
3500,Associate Relationship Manager,Sales,Offer Sent,1,25-09-2018,Campus Job Board,Bachelors,0,Campus,Offer Accepted,27-10-2018,32,1
3546,Associate Software Developer,Engineering,Offer Sent,1,26-10-2016,Campus Event,Bachelors,0,Campus,Offer Declined,01-01-2017,67,0
3593,Associate Software Developer,Engineering,Offer Sent,1,26-09-2018,Campus Event,Bachelors,0,Campus,Offer Declined,17-11-2018,52,0
3641,Associate Product Manager,Product,Offer Sent,1,07-10-2017,Campus Job Board,PhD,2,Campus,Offer Declined,13-12-2017,67,0
3690,Associate Relationship Manager,Sales,Offer Sent,1,11-08-2018,Campus Event,Masters,0,Campus,Offer Declined,15-10-2018,65,0
3740,Associate Software Developer,Engineering,Offer Sent,1,07-11-2016,Campus Event,PhD,3,Campus,Offer Declined,30-12-2016,53,0
3791,Associate Software Developer,Engineering,Offer Sent,1,03-10-2017,Campus Event,Bachelors,0,Campus,Offer Declined,22-11-2017,50,0
3843,Associate Relationship Manager,Sales,Offer Sent,1,22-10-2018,Career Fair,Bachelors,0,Campus,Offer Declined,13-12-2018,52,0
3896,Associate Relationship Manager,Sales,Offer Sent,1,28-09-2016,Campus Event,Masters,1,Campus,Offer Declined,02-12-2016,65,0
3950,Associate Relationship Manager,Sales,Offer Sent,1,12-12-2016,Career Fair,Bachelors,0,Campus,Offer Declined,15-02-2017,65,0
4005,Associate Software Developer,Engineering,Offer Sent,1,24-11-2016,Campus Job Board,Bachelors,0,Campus,Offer Declined,09-01-2017,46,0
4061,Associate Software Developer,Engineering,Offer Sent,1,28-11-2018,Website,Bachelors,0,Campus,Offer Declined,15-01-2019,48,0
4118,Associate Software Developer,Engineering,Offer Sent,1,16-10-2018,Website,PhD,1,Campus,Offer Declined,06-12-2018,51,0
4176,Associate Software Developer,Engineering,Offer Sent,1,02-10-2018,Career Fair,Bachelors,0,Campus,Offer Declined,29-11-2018,58,0
4235,Associate Software Developer,Engineering,Offer Sent,1,07-10-2018,Campus Job Board,Masters,1,Campus,Offer Declined,08-12-2018,62,0
4295,Associate Product Manager,Product,Offer Sent,1,08-10-2018,Career Fair,PhD,2,Campus,Offer Declined,30-11-2018,53,0
4356,Associate Software Developer,Engineering,Offer Sent,1,01-12-2018,Website,Bachelors,0,Campus,Offer Declined,31-01-2019,61,0
4418,Associate Software Developer,Engineering,Offer Sent,1,14-12-2016,Website,Bachelors,0,Campus,Offer Declined,19-02-2017,67,0
4481,Finance Manager,Finance,Offer Sent,1,15-08-2018,Website,Masters,5,Experienced,Offer Declined,11-10-2018,57,0
4545,Associate Software Developer,Engineering,Offer Sent,1,14-09-2018,Campus Event,Bachelors,0,Campus,Offer Declined,04-11-2018,51,0
4610,Associate Software Developer,Engineering,Offer Sent,1,01-01-2016,Campus Job Board,Bachelors,0,Campus,Offer Declined,22-02-2016,52,0
4676,Associate Product Manager,Product,Offer Sent,1,09-10-2016,Campus Job Board,PhD,1,Campus,Offer Declined,08-12-2016,60,0
4743,Associate Relationship Manager,Sales,Offer Sent,1,11-09-2018,Campus Event,Masters,0,Campus,Offer Declined,04-11-2018,54,0
4811,Associate Product Manager,Product,Offer Sent,1,20-09-2017,Campus Job Board,Bachelors,0,Campus,Offer Declined,08-11-2017,49,0
4880,Associate Product Manager,Product,Offer Sent,1,04-09-2018,Campus Event,PhD,2,Campus,Offer Declined,05-11-2018,62,0
4950,Associate Relationship Manager,Sales,Offer Sent,1,17-09-2017,Campus Event,Masters,0,Campus,Offer Declined,16-11-2017,60,0
5021,Associate Software Developer,Engineering,Offer Sent,1,30-10-2017,Campus Event,Bachelors,0,Campus,Offer Declined,22-12-2017,53,0
5093,Associate Software Developer,Engineering,Offer Sent,1,27-10-2017,Career Fair,Bachelors,0,Campus,Offer Declined,18-12-2017,52,0
5166,Associate Software Developer,Engineering,New Application,0,14-09-2016,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
5240,Associate Software Developer,Engineering,New Application,0,04-01-2016,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
5315,Associate Software Developer,Engineering,New Application,0,25-09-2017,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
5391,Associate Software Developer,Engineering,New Application,0,20-03-2016,Advertisement,Bachelors,0,Campus,Not avaliable,#N/A,--,9
5468,Associate Software Developer,Engineering,New Application,0,20-10-2017,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
5546,Associate Software Developer,Engineering,New Application,0,22-11-2017,Campus Job Board,Bachelors,0,Campus,Not avaliable,#N/A,--,9
5625,Associate Software Developer,Engineering,New Application,0,19-09-2016,Career Fair,Bachelors,7,Campus,Not avaliable,#N/A,--,9
5705,Associate Software Developer,Engineering,New Application,0,09-09-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
5786,Associate Software Developer,Engineering,New Application,0,02-09-2016,Career Fair,Bachelors,0,Campus,Not avaliable,#N/A,--,9
5868,Associate Software Developer,Engineering,New Application,0,26-03-2016,Website,Bachelors,0,Campus,Not avaliable,#N/A,--,9
